site,title,link,city,organization,note,salary_min,salary_max,salary_currency
HeadHanter,Разработчик Python,https://perm.hh.ru/vacancy/47892369?from=vacancy_search_list&query=python,Москва,Билайн,,,,
HeadHanter,Data Scientist,https://perm.hh.ru/vacancy/45191074?from=vacancy_search_list&query=python,Москва,Точка,Будьте первыми,,300 000,руб.
HeadHanter,Backend-разработчик / Python developer (умные дома),https://perm.hh.ru/vacancy/48381016?from=vacancy_search_list&query=python,Москва,ООО Эктострой,Будьте первыми,100 000,200 000,руб.
HeadHanter,"Старший Backend-разработчик (Python, Django)",https://perm.hh.ru/vacancy/47975443?from=vacancy_search_list&query=python,Казань,Ergeon,Будьте первыми,4 000,5 000,USD
HeadHanter,Middle Python Back End Developer,https://perm.hh.ru/vacancy/48285643?from=vacancy_search_list&query=python,Киев,EVO,Будьте первыми,2 500,4 000,USD
HeadHanter,Python разработчик,https://perm.hh.ru/vacancy/47368969?from=vacancy_search_list&query=python,Москва,Сбер. IT,,,,
HeadHanter,Python разработчик (middle +),https://perm.hh.ru/vacancy/48107880?from=vacancy_search_list&query=python,Москва,ООО МЕДИКАЛ НОУТ,,120 000,180 000,руб.
HeadHanter,Senior Machine Learning Engineer (remote),https://perm.hh.ru/vacancy/48031928?from=vacancy_search_list&query=python,Москва,Inworld AI,,400 000,,руб.
HeadHanter,Ведущий разработчик Python,https://perm.hh.ru/vacancy/47979179?from=vacancy_search_list&query=python,Москва,ООО А 3,Будьте первыми,200 000,,руб.
HeadHanter,"Разработчик (С++, Python)",https://perm.hh.ru/vacancy/47794928?from=vacancy_search_list&query=python,Москва,Адалиск,,150 000,,руб.
HeadHanter,Python-разработчик (Витрина),https://perm.hh.ru/vacancy/47448086?from=vacancy_search_list&query=python,Москва,Домклик,,,,
HeadHanter,Разработчик Python,https://perm.hh.ru/vacancy/47668037?from=vacancy_search_list&query=python,Ростов-на-Дону,ООО Электронная медицина,Будьте первыми,30 000,80 000,руб.
HeadHanter,Разработчик Python,https://perm.hh.ru/vacancy/47731802?from=vacancy_search_list&query=python,Москва,ООО Универсальная Электронная Платформа,,,,
HeadHanter,Python Developer,https://perm.hh.ru/vacancy/47972165?from=vacancy_search_list&query=python,Москва,Ergeon,,3 000,4 000,USD
HeadHanter,Backend-разработчик (Python),https://perm.hh.ru/vacancy/46666248?from=vacancy_search_list&query=python,Москва,АО Эшелон Технологии,Будьте первыми,70 000,140 000,руб.
HeadHanter,Middle Python developer (релокация в Сочи),https://perm.hh.ru/vacancy/45414767?from=vacancy_search_list&query=python,Москва,ООО Колл-Тулз,Будьте первыми,150 000,,руб.
HeadHanter,Python developer,https://perm.hh.ru/vacancy/48172711?from=vacancy_search_list&query=python,Санкт-Петербург,ООО Subtotal,Будьте первыми,120 000,160 000,руб.
HeadHanter,Python-разработчик (Django),https://perm.hh.ru/vacancy/48395739?from=vacancy_search_list&query=python,Москва,ПАО «МТС» ,,,,
